日期,SN,测试结果,边刷正转电流测试1,边刷正转电流值1,边刷正转电流阀值1,边刷反转电流测试2,边刷反转电流值2,边刷反转电流阀值2,摆臂伸出电流测试3,摆臂伸出电流值3,摆臂伸出电流阀值3,摆臂收回电流测试4,摆臂收回电流值4,摆臂收回电流阀值4,摆臂行程测试5,摆臂行程值5,摆臂行程阀值5,摆臂微动开关测试6,摆臂微动开关值6,摆臂微动开关阀值6
2025-05-27 10:20:11,AGEC10S25021500001,NG,未测试,未测试,8mA-48mA,未测试,未测试,8mA-48mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,NG,NG,-
2025-05-27 10:20:51,AGEC10S25021500001,mes NG,PASS,24mA,8mA-48mA,PASS,21mA,8mA-48mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 10:21:30,AGEC10S25021500001,OK,PASS,23mA,8mA-48mA,PASS,21mA,8mA-48mA,PASS,252mA,161mA-483mA,PASS,181mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 10:21:43,AGEC10S25021500001,mes NG,PASS,24mA,8mA-48mA,未测试,未测试,8mA-48mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 10:22:10,AGEC10S25021500001,OK,PASS,24mA,8mA-48mA,PASS,20mA,8mA-48mA,PASS,253mA,161mA-483mA,PASS,176mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 10:24:53,AGEC10S25021500001,mes NG
2025-05-27 10:25:09,AGEC10S25021500001,mes NG
2025-05-27 10:25:50,AGEC10S25021500001,mes NG
2025-05-27 10:25:56,AGEC10S25021500001,mes NG
2025-05-27 12:00:27,AGEC10S25021500001,NG,NG,65511mA,8mA-48mA,未测试,未测试,8mA-48mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 13:39:31,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,65514mA,8mA-48mA,PASS,258mA,161mA-483mA,PASS,252mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 13:46:02,AGEC10S25021500001,NG,NG,-1mA,8mA-48mA,NG,-1mA,-48mA--8mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,NG,NG,-
2025-05-27 13:46:27,AGEC10S25021500001,NG,PASS,25mA,8mA-48mA,PASS,-22mA,-48mA--8mA,PASS,202mA,161mA-483mA,未测试,未测试,161mA-483mA,NG,NG,-,PASS,OK,-
2025-05-27 13:47:01,AGEC10S25021500001,OK,PASS,25mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,272mA,161mA-483mA,PASS,249mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 13:57:08,AGEC10S25021500001,OK,PASS,23mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,74mA,50mA-800mA,PASS,203mA,161mA-483mA,PASS,201mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 13:59:21,AGEC10S25021500001,NG,NG,-24mA,8mA-48mA,NG,-1mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:05:26,AGEC10S25021500001,NG,PASS,24mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:08:30,AGEC10S25021500001,NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:10:36,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:21,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:25,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:35,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:38,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:41,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:46,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:49,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:54,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:58,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:02,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:05,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:08,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:10,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:13,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:21,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:25,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:33:10,AGEC10S25021500001,NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:34:36,AGEC10S25021500001,OK,PASS,23mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,79mA,50mA-800mA,PASS,272mA,161mA-483mA,PASS,190mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 15:34:57,AGEC10S25021500001,NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:27,AGEC10S25021500001,NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:30,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:35,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:56,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:01,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:06,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:13,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 16:04:01,AGEC10S25021500001,OK,PASS,24mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,72mA,50mA-800mA,PASS,277mA,161mA-483mA,PASS,197mA,161mA-483mA,PASS,OK,-,PASS,OK,-
